"Genus","Species","ID","year","lat","long","elev","budburst","Colored leaves","flowers","Fruits","Increasing leaf size","leaf drop","leafout","Open flowers","Pollen release (flowers)","Recent fruit or seed drop","Ripe fruits","fruits","col.leaves","leafdrop","last.obs","id_year","gdd.start"
"Betula","alleghaniensis",85763,2016,42.301922,-71.123932,36,110,281,104,207,121,289,114,114,115,NA,229,207,281,289,289,"85763 2016",46
"Betula","alleghaniensis",85763,2017,42.301922,-71.123932,36,102,251,120,139,117,288,117,120,133,NA,NA,139,251,288,288,"85763 2017",46
"Betula","alleghaniensis",85763,2018,42.301922,-71.123932,36,118,277,111,144,125,277,122,122,130,274,210,144,277,277,277,"85763 2018",46
"Betula","alleghaniensis",85764,2015,42.301922,-71.123932,36,138,247,138,173,138,250,138,138,NA,262,228,173,247,250,250,"85764 2015",46
"Betula","alleghaniensis",85764,2016,42.301922,-71.123932,36,102,260,104,NA,116,260,114,114,112,281,NA,NA,260,260,260,"85764 2016",46
"Betula","alleghaniensis",85764,2017,42.301922,-71.123932,36,102,218,108,144,117,209,117,108,110,NA,152,144,218,209,209,"85764 2017",46
"Betula","alleghaniensis",85764,2018,42.301922,-71.123932,36,114,264,118,144,123,277,121,122,NA,315,236,144,264,277,277,"85764 2018",46
"Betula","nigra",86258,2015,42.301922,-71.123932,36,138,202,172,NA,NA,282,138,NA,NA,NA,NA,NA,202,282,282,"86258 2015",46
"Betula","nigra",86258,2016,42.301922,-71.123932,36,114,281,104,165,132,281,132,120,NA,NA,NA,165,281,281,281,"86258 2016",46
"Betula","nigra",86258,2017,42.301922,-71.123932,36,100,235,112,127,119,241,118,118,117,162,162,127,235,241,241,"86258 2017",46
"Betula","nigra",86258,2018,42.301922,-71.123932,36,122,278,111,144,125,278,125,125,130,NA,156,144,278,278,278,"86258 2018",46
"Betula","nigra",86259,2015,42.301922,-71.123932,36,138,218,150,NA,NA,258,138,NA,NA,164,NA,NA,218,258,258,"86259 2015",46
"Betula","nigra",86259,2016,42.301922,-71.123932,36,111,210,111,161,130,260,127,114,114,165,165,161,210,260,260,"86259 2016",46
"Betula","nigra",86259,2017,42.301922,-71.123932,36,100,202,112,131,117,202,108,117,117,162,162,131,202,202,202,"86259 2017",46
"Betula","nigra",86259,2018,42.301922,-71.123932,36,114,243,112,151,125,243,122,124,125,162,156,151,243,243,243,"86259 2018",46
"Betula","nigra",86260,2015,42.301922,-71.123932,36,142,218,150,NA,NA,240,138,158,NA,158,NA,NA,218,240,240,"86260 2015",46
"Betula","nigra",86260,2016,42.301922,-71.123932,36,111,246,114,147,130,241,125,111,120,161,161,147,246,241,241,"86260 2016",46
"Betula","nigra",86260,2017,42.301922,-71.123932,36,101,209,109,131,117,209,117,114,117,158,153,131,209,209,209,"86260 2017",46
"Betula","nigra",86260,2018,42.301922,-71.123932,36,118,250,112,124,124,250,122,122,125,156,156,124,250,250,250,"86260 2018",46
"Betula","nigra",86261,2015,42.301922,-71.123932,36,139,250,150,NA,NA,270,138,158,NA,NA,NA,NA,250,270,270,"86261 2015",46
"Betula","nigra",86261,2016,42.301922,-71.123932,36,114,279,115,147,130,289,130,132,132,NA,NA,147,279,289,289,"86261 2016",46
"Betula","nigra",86261,2017,42.301922,-71.123932,36,100,250,118,139,120,247,118,118,117,162,162,139,250,247,247,"86261 2017",46
"Betula","nigra",86261,2018,42.301922,-71.123932,36,122,256,112,144,123,256,122,122,130,162,156,144,256,256,256,"86261 2018",46
"Betula","nigra",87754,2015,42.301922,-71.123932,36,138,202,150,NA,NA,202,138,158,NA,164,NA,NA,202,202,202,"87754 2015",46
"Betula","nigra",87754,2016,42.301922,-71.123932,36,112,281,104,162,130,284,130,120,NA,165,165,162,281,284,284,"87754 2016",46
"Betula","nigra",87754,2017,42.301922,-71.123932,36,101,230,125,149,120,241,118,125,117,162,162,149,230,241,241,"87754 2017",46
"Betula","nigra",87754,2018,42.301922,-71.123932,36,122,251,122,144,125,256,122,125,130,162,162,144,251,256,256,"87754 2018",46
"Carya","glabra",86262,2016,42.30024,-71.12606,33,130,285,143,150,143,NA,143,142,149,NA,236,150,285,NA,285,"86262 2016",46
"Carya","glabra",86262,2017,42.30024,-71.12606,33,118,251,126,172,126,253,120,134,253,284,253,172,251,253,253,"86262 2017",46
"Carya","glabra",86262,2018,42.30024,-71.12606,33,123,249,126,153,138,256,126,144,NA,288,279,153,249,256,256,"86262 2018",46
"Carya","glabra",86263,2016,42.30024,-71.12606,33,118,273,122,150,122,273,118,130,NA,NA,NA,150,273,273,273,"86263 2016",46
"Carya","glabra",86263,2017,42.30024,-71.12606,33,110,253,118,166,124,253,118,124,126,253,253,166,253,253,253,"86263 2017",46
"Carya","glabra",86263,2018,42.30024,-71.12606,33,118,258,122,153,122,258,122,NA,NA,242,242,153,258,258,258,"86263 2018",46
"Carya","glabra",86264,2016,42.30024,-71.12606,33,110,273,NA,166,122,NA,118,NA,NA,NA,NA,166,273,NA,273,"86264 2016",46
"Carya","glabra",86264,2017,42.30024,-71.12606,33,100,253,134,172,117,253,114,134,134,266,266,172,253,253,253,"86264 2017",46
"Carya","glabra",86264,2018,42.30024,-71.12606,33,119,249,NA,153,122,256,122,NA,NA,249,249,153,249,256,256,"86264 2018",46
"Carya","glabra",86265,2016,42.30024,-71.12606,33,122,285,130,150,125,285,122,150,149,NA,NA,150,285,285,285,"86265 2016",46
"Carya","glabra",86265,2017,42.30024,-71.12606,33,100,253,118,166,124,253,118,134,NA,253,253,166,253,253,253,"86265 2017",46
"Carya","glabra",86265,2018,42.30024,-71.12606,33,118,258,126,153,126,263,123,144,146,242,242,153,258,263,263,"86265 2018",46
"Carya","glabra",86266,2016,42.30024,-71.12606,33,118,285,118,150,124,285,122,130,144,230,230,150,285,285,285,"86266 2016",46
"Carya","glabra",86266,2017,42.30024,-71.12606,33,100,253,117,147,117,253,117,126,NA,253,253,147,253,253,253,"86266 2017",46
"Carya","glabra",86266,2018,42.30024,-71.12606,33,118,258,122,153,122,263,122,NA,NA,242,242,153,258,263,263,"86266 2018",46
"Carya","ovata",86268,2016,42.30024,-71.12606,33,130,284,142,150,132,295,131,150,149,264,NA,150,284,295,295,"86268 2016",46
"Carya","ovata",86268,2017,42.30024,-71.12606,33,105,264,118,172,118,253,118,125,133,242,242,172,264,253,253,"86268 2017",46
"Carya","ovata",86268,2018,42.30024,-71.12606,33,118,272,125,158,125,279,125,131,NA,249,256,158,272,279,279,"86268 2018",46
"Carya","ovata",86269,2016,42.30024,-71.12606,33,130,284,143,185,143,295,132,142,149,NA,NA,185,284,295,295,"86269 2016",46
"Carya","ovata",86269,2017,42.30024,-71.12606,33,105,264,118,172,118,253,118,125,133,242,242,172,264,253,253,"86269 2017",46
"Carya","ovata",86269,2018,42.30024,-71.12606,33,118,272,125,158,125,272,125,131,NA,249,251,158,272,272,272,"86269 2018",46
"Carya","ovata",86270,2016,42.30024,-71.12606,33,110,278,127,150,132,289,127,142,144,273,NA,150,278,289,289,"86270 2016",46
"Carya","ovata",86270,2017,42.30024,-71.12606,33,105,253,117,165,117,253,117,125,133,242,242,165,253,253,253,"86270 2017",46
"Carya","ovata",86270,2018,42.30024,-71.12606,33,118,272,125,229,125,279,125,131,NA,249,249,229,272,279,279,"86270 2018",46
"Carya","ovata",86271,2016,42.30024,-71.12606,33,130,278,143,200,142,284,132,149,NA,273,NA,200,278,284,284,"86271 2016",46
"Carya","ovata",86271,2017,42.30024,-71.12606,33,105,260,118,172,118,253,118,125,133,242,242,172,260,253,253,"86271 2017",46
"Carya","ovata",86271,2018,42.30024,-71.12606,33,118,256,125,158,125,256,125,131,NA,249,251,158,256,256,256,"86271 2018",46
"Carya","ovata",86272,2016,42.30024,-71.12606,33,125,285,143,150,143,295,132,142,149,256,236,150,285,295,295,"86272 2016",46
"Carya","ovata",86272,2017,42.30024,-71.12606,33,105,253,120,159,118,264,118,133,133,242,242,159,253,264,264,"86272 2017",46
"Carya","ovata",86272,2018,42.30024,-71.12606,33,118,274,125,151,125,282,125,137,146,210,251,151,274,282,282,"86272 2018",46
"Fagus","grandifolia",86273,2016,42.298065,-71.122131,21,93,282,111,177,115,282,115,115,NA,NA,NA,177,282,282,282,"86273 2016",46
"Fagus","grandifolia",86274,2016,42.298065,-71.122131,21,115,282,111,NA,115,290,115,136,NA,NA,NA,NA,282,290,290,"86274 2016",46
"Fagus","grandifolia",86274,2017,42.298065,-71.122131,21,103,278,118,159,121,264,117,124,NA,239,NA,159,278,264,264,"86274 2017",46
"Fagus","grandifolia",86275,2016,42.298065,-71.122131,21,97,281,111,139,115,281,115,115,NA,273,248,139,281,281,281,"86275 2016",46
"Fagus","grandifolia",86275,2017,42.298065,-71.122131,21,103,253,110,139,112,256,112,117,NA,245,239,139,253,256,256,"86275 2017",46
"Fagus","grandifolia",86276,2016,42.298065,-71.122131,21,115,282,130,NA,122,290,118,NA,NA,NA,NA,NA,282,290,290,"86276 2016",46
"Fagus","grandifolia",86276,2017,42.298065,-71.122131,21,108,278,118,152,117,278,117,118,NA,253,NA,152,278,278,278,"86276 2017",46
"Fagus","grandifolia",86276,2018,42.298065,-71.122131,21,122,274,NA,NA,123,278,123,NA,NA,NA,NA,NA,274,278,278,"86276 2018",46
