"Genus","Species","ID","year","lat","long","elev","budburst","Colored leaves","flowers","Fruits","Increasing leaf size","leaf drop","leafout","Open flowers","Pollen release (flowers)","Recent fruit or seed drop","Ripe fruits","fruits","col.leaves","leafdrop","last.obs","gdd.start"
"Acer","saccharum",92206,2017,42.303822,-71.120308,13,101,252,105,127,113,259,107,113,NA,172,202,127,252,259,259,46
"Acer","saccharum",92206,2018,42.303822,-71.120308,13,119,287,NA,NA,NA,293,132,NA,NA,NA,NA,NA,287,293,293,46
"Acer","saccharum",92208,2015,42.303822,-71.120308,13,NA,280,NA,NA,NA,280,204,NA,NA,NA,NA,NA,280,280,280,46
"Acer","saccharum",92208,2016,42.303822,-71.120308,13,115,286,118,152,130,NA,130,127,NA,NA,NA,152,286,NA,286,46
"Acer","saccharum",92208,2017,42.303822,-71.120308,13,101,288,108,127,113,288,107,118,119,259,202,127,288,288,288,46
"Acer","saccharum",92208,2018,42.303822,-71.120308,13,119,272,NA,NA,NA,278,132,NA,NA,NA,NA,NA,272,278,278,46
"Acer","saccharum",92209,2015,42.296417,-71.128052,26,NA,279,NA,NA,NA,NA,248,NA,NA,279,NA,NA,279,NA,279,46
"Acer","saccharum",92209,2016,42.296417,-71.128052,26,109,148,110,NA,124,249,116,NA,NA,NA,NA,NA,148,249,249,46
"Acer","saccharum",92209,2017,42.296417,-71.128052,26,102,254,104,125,114,254,108,105,109,176,149,125,254,254,254,46
"Acer","saccharum",92209,2018,42.296417,-71.128052,26,121,269,NA,NA,124,292,122,NA,146,NA,NA,NA,269,292,292,46
"Aesculus","flava",85751,2015,42.305161,-71.122452,13,NA,NA,NA,NA,NA,NA,165,NA,NA,NA,NA,NA,NA,NA,NA,46
"Aesculus","flava",85751,2016,42.305161,-71.122452,13,105,274,110,156,113,282,108,130,NA,274,274,156,274,282,282,46
"Aesculus","flava",85751,2017,42.305161,-71.122452,13,108,256,119,162,110,256,108,127,NA,NA,NA,162,256,256,256,46
"Aesculus","flava",85751,2018,42.305161,-71.122452,13,117,199,117,151,117,NA,117,131,NA,NA,272,151,199,NA,199,46
"Aesculus","flava",85755,2015,42.305161,-71.122452,13,NA,255,NA,NA,NA,266,165,NA,NA,266,NA,NA,255,266,266,46
"Aesculus","flava",85755,2016,42.305161,-71.122452,13,111,260,113,156,112,282,112,130,NA,260,262,156,260,282,282,46
"Aesculus","flava",85755,2017,42.305161,-71.122452,13,108,224,108,162,110,NA,108,127,NA,NA,NA,162,224,NA,224,46
