"Genus","Species","ID","year","lat","long","elev","budburst","Colored leaves","flowers","Fruits","Increasing leaf size","leaf drop","leafout","Open flowers","Pollen release (flowers)","Recent fruit or seed drop","Ripe fruits","fruits","col.leaves","leafdrop","last.obs","gdd.start"
"Quercus","rubra",86288,2018,42.300278,-71.124771,30,122,282,128,260,125,296,123,130,131,260,264,260,282,296,296,46
"Quercus","rubra",87760,2015,42.300278,-71.124771,30,NA,NA,NA,NA,NA,NA,252,NA,NA,252,NA,NA,NA,NA,NA,46
"Quercus","rubra",87760,2016,42.300278,-71.124771,30,115,282,115,NA,NA,282,127,NA,NA,268,NA,NA,282,282,282,46
"Quercus","rubra",87760,2017,42.300278,-71.124771,30,110,272,NA,NA,124,288,117,NA,NA,NA,NA,NA,272,288,288,46
"Quercus","rubra",87760,2018,42.300278,-71.124771,30,122,264,128,NA,122,282,122,129,135,272,NA,NA,264,282,282,46
"Tilia","americana",86289,2015,42.296417,-71.128052,26,NA,256,154,202,NA,256,144,NA,NA,NA,248,202,256,256,256,46
"Tilia","americana",86289,2016,42.296417,-71.128052,26,94,257,152,247,118,286,118,188,189,248,NA,247,257,286,286,46
"Tilia","americana",86289,2017,42.296417,-71.128052,26,98,295,110,184,107,257,107,185,185,186,186,184,295,257,257,46
"Tilia","americana",86289,2018,42.296417,-71.128052,26,117,276,136,188,124,271,122,177,NA,202,202,188,276,271,271,46
"Tilia","americana",86290,2015,42.305161,-71.122452,13,NA,255,NA,NA,NA,255,137,NA,NA,NA,NA,NA,255,255,255,46
"Tilia","americana",86290,2016,42.305161,-71.122452,13,111,252,142,199,122,260,115,182,189,262,262,199,252,260,260,46
"Tilia","americana",86290,2017,42.305161,-71.122452,13,107,234,127,193,119,234,113,NA,NA,NA,234,193,234,234,234,46
"Tilia","americana",86290,2018,42.305161,-71.122452,13,118,231,133,199,127,231,121,192,NA,222,218,199,231,231,231,46
"Tilia","americana",87757,2015,42.296417,-71.128052,26,NA,279,NA,NA,NA,279,144,NA,NA,NA,NA,NA,279,279,279,46
"Tilia","americana",87757,2016,42.296417,-71.128052,26,94,280,NA,247,133,262,118,NA,NA,NA,NA,247,280,262,262,46
"Tilia","americana",87757,2017,42.296417,-71.128052,26,104,270,141,184,116,270,116,179,185,186,186,184,270,270,270,46
"Tilia","americana",87757,2018,42.296417,-71.128052,26,123,260,134,206,124,262,124,NA,NA,246,225,206,260,262,262,46
"Tilia","americana",87762,2015,42.305161,-71.122452,13,NA,255,NA,NA,NA,255,137,NA,NA,NA,NA,NA,255,255,255,46
"Tilia","americana",87762,2016,42.305161,-71.122452,13,111,215,130,199,122,281,115,179,NA,262,262,199,215,281,281,46
"Tilia","americana",87762,2017,42.305161,-71.122452,13,101,301,127,186,110,301,107,172,NA,234,221,186,301,301,301,46
"Tilia","americana",87762,2018,42.305161,-71.122452,13,117,246,137,192,128,234,122,NA,NA,257,243,192,246,234,234,46
"Tilia","americana",87763,2015,42.305161,-71.122452,13,NA,230,NA,NA,NA,255,137,NA,NA,NA,NA,NA,230,255,255,46
"Tilia","americana",87763,2016,42.305161,-71.122452,13,105,252,152,193,115,260,115,176,178,293,262,193,252,260,260,46
"Tilia","americana",87763,2017,42.305161,-71.122452,13,106,234,127,148,110,234,107,173,NA,234,224,148,234,234,234,46
"Tilia","americana",87763,2018,42.305161,-71.122452,13,118,234,131,195,128,227,122,NA,NA,NA,NA,195,234,227,227,46
"Vaccinium","corymbosum",166768,2018,42.302277,-71.125732,36,NA,272,NA,NA,NA,280,202,NA,NA,NA,NA,NA,272,280,280,46
"Vaccinium","corymbosum",166769,2018,42.302277,-71.125732,36,NA,224,NA,NA,NA,280,202,NA,NA,NA,NA,NA,224,280,280,46
"Vaccinium","corymbosum",166773,2018,42.302277,-71.125732,36,NA,308,NA,NA,NA,308,202,NA,NA,NA,NA,NA,308,308,308,46
"Vaccinium","corymbosum",166774,2018,42.302277,-71.125732,36,NA,308,NA,NA,NA,308,202,NA,NA,NA,NA,NA,308,308,308,46
"Vaccinium","corymbosum",166775,2018,42.302277,-71.125732,36,NA,280,NA,NA,NA,280,202,NA,NA,NA,NA,NA,280,280,280,46
"Viburnum","nudum",169165,2018,42.302277,-71.125732,36,NA,287,NA,189,NA,308,189,NA,NA,287,260,189,287,308,308,46
"Viburnum","nudum",169166,2018,42.302277,-71.125732,36,NA,304,NA,189,NA,308,189,NA,NA,NA,NA,189,304,308,308,46
"Viburnum","nudum",169167,2018,42.302277,-71.125732,36,NA,278,NA,197,NA,308,197,NA,NA,224,224,197,278,308,308,46
"Viburnum","nudum",169168,2018,42.302277,-71.125732,36,NA,304,280,197,NA,304,197,NA,NA,260,260,197,304,304,304,46
"Viburnum","nudum",169171,2018,42.296417,-71.128052,26,NA,287,251,251,NA,NA,170,229,NA,NA,NA,251,287,NA,287,46
