"ID","year","leafout","Genus","Species","elev","lat","long","budburst","force","force.lo","gdd.bb","gdd.lo","chill","achill","lophoto","bbphoto","m.photo.bb","m.photo.lo","photo.bb","photo.lo","dvr"
92203,2016,133,"Acer","saccharum",13,42.303822,-71.120308,130,6.53435294117647,6.85227272727273,582.7,630.28,3.09365384615385,50.51,14.4859132875793,14.3759819303914,12.5031804294421,12.569536602552,1062.77033650258,1106.11922102457,3
92203,2017,131,"Acer","saccharum",13,42.303822,-71.120308,127,6.2869512195122,6.41813953488372,572.48,608.91,2.43805084745763,96.79,14.4131607973205,14.2614417418669,12.4360482673969,12.5253895034872,1019.75595792654,1077.1834972999,4
92203,2018,127,"Acer","saccharum",13,42.303822,-71.120308,119,4.89986486486487,6.09878048780488,373.07,510.58,1.88769230769231,65.18,14.2614417418669,13.936830139523,12.2538349977253,12.4360482673969,906.783789831672,1019.75595792654,8
92204,2016,112,"Acer","saccharum",13,42.303822,-71.120308,109,5.411875,5.66746268656716,373.64,407,3.09365384615385,50.51,13.6345415555162,13.5009329030466,12.0211571508534,12.0914111869361,769.354057654615,810.124549524722,3
92204,2017,108,"Acer","saccharum",13,42.303822,-71.120308,101,3.58607142857143,4.70365079365079,257.77,353.28,6.34654088050314,96.79,13.4559384689672,13.1355745975213,11.8324577485078,11.9976686468503,662.617633916435,755.853124751569,7
92204,2018,125,"Acer","saccharum",13,42.303822,-71.120308,118,4.81383561643836,5.896875,361.89,482.23,2.28036144578313,69.41,14.1827454977478,13.8945662601255,12.2307802697555,12.3909024978904,892.846959692149,991.272199831231,7
92206,2016,117,"Acer","saccharum",13,42.303822,-71.120308,109,5.411875,6.09277777777778,373.64,465.96,5.0922972972973,62.74,13.8519743381595,13.5009329030466,12.0211571508534,12.2076721310003,769.354057654615,878.952393432024,8
92206,2017,107,"Acer","saccharum",13,42.303822,-71.120308,101,3.58607142857143,4.65564516129032,257.77,345.6,5.81875816993464,96.79,13.4107320988529,13.1355745975213,11.8324577485078,11.9741481658484,662.617633916435,742.397186282601,6
92206,2018,132,"Acer","saccharum",13,42.303822,-71.120308,119,4.89986486486487,6.53011494252874,373.07,578.6,1.81233766233766,65.18,14.4498104370945,13.936830139523,12.2538349977253,12.5475092843333,906.783789831672,1091.63330773699,13
92208,2016,130,"Acer","saccharum",13,42.303822,-71.120308,115,6.03214285714286,6.53435294117647,449.53,582.7,5.8279012345679,62.74,14.3759819303914,13.7658585403169,12.1613050227157,12.5031804294421,851.291351590099,1062.77033650258,15
92208,2017,107,"Acer","saccharum",13,42.303822,-71.120308,101,3.58607142857143,4.65564516129032,257.77,345.6,2.99935483870968,96.79,13.4107320988529,13.1355745975213,11.8324577485078,11.9741481658484,662.617633916435,742.397186282601,6
92208,2018,132,"Acer","saccharum",13,42.303822,-71.120308,119,4.89986486486487,6.53011494252874,373.07,578.6,3.54369565217391,69.41,14.4498104370945,13.936830139523,12.2538349977253,12.5475092843333,906.783789831672,1091.63330773699,13
92209,2016,116,"Acer","saccharum",26,42.296417,-71.128052,109,5.411875,6.10056338028169,373.64,460.42,9.38110169491525,62.74,13.8086114358157,13.5005603184112,12.0211732282149,12.1844859837867,769.355086605757,865.098504848858,7
92209,2017,108,"Acer","saccharum",26,42.296417,-71.128052,102,3.76719298245614,4.70365079365079,271.68,353.28,6.28601265822785,96.79,13.4555779623464,13.1815683010372,11.8561907380714,11.9976908934499,675.802872070069,755.854526287345,6
92209,2018,122,"Acer","saccharum",26,42.296417,-71.128052,121,5.02026315789474,5.26168831168831,392.02,415.63,1.88769230769231,65.18,14.0609913855974,14.0198053213713,12.2997170037562,12.3225906970268,934.778492285469,948.839483671067,1
85751,2016,108,"Aesculus","flava",13,42.305161,-71.122452,105,5.171,5.32619047619048,337.54,362.83,6.11070588235294,62.74,13.4560036668141,13.3197812566942,11.9270114679287,11.9976646238334,715.620688075725,755.852871301506,3
85751,2017,108,"Aesculus","flava",13,42.305161,-71.122452,108,4.70365079365079,4.70365079365079,353.28,353.28,6.12519230769231,96.79,13.4560036668141,13.4560036668141,11.9976646238334,11.9976646238334,755.852871301506,755.852871301506,0
85751,2018,117,"Aesculus","flava",13,42.305161,-71.122452,117,4.66833333333333,4.66833333333333,346.6,346.6,11.8000584795322,69.41,13.8520589420911,13.8520589420911,12.2076781145509,12.2076781145509,878.952824247665,878.952824247665,0
85755,2016,112,"Aesculus","flava",13,42.305161,-71.122452,111,5.52787878787879,5.66746268656716,392.12,407,6.11070588235294,62.74,13.634615453176,13.5903167941144,12.0680297453693,12.0914116216052,796.489963194373,810.124578647549,1
85755,2017,108,"Aesculus","flava",13,42.305161,-71.122452,108,4.70365079365079,4.70365079365079,353.28,353.28,8.42047872340425,96.79,13.4560036668141,13.4560036668141,11.9976646238334,11.9976646238334,755.852871301506,755.852871301506,0
85755,2018,117,"Aesculus","flava",13,42.305161,-71.122452,114,4.32811594202899,4.66833333333333,309.12,346.6,4.22724489795918,69.41,13.8520589420911,13.722438092002,12.1380532816483,12.2076781145509,837.525676433732,878.952824247665,3
85756,2016,112,"Aesculus","flava",13,42.305161,-71.122452,110,5.46938461538462,5.66746268656716,382.79,407,6.34340909090909,62.74,13.634615453176,13.5457748135269,12.0446099446194,12.0914116216052,782.899646400258,810.124578647549,2
85756,2017,108,"Aesculus","flava",13,42.305161,-71.122452,108,4.70365079365079,4.70365079365079,353.28,353.28,4.47757142857143,96.79,13.4560036668141,13.4560036668141,11.9976646238334,11.9976646238334,755.852871301506,755.852871301506,0
