"Genus","Species","phase","year","doy","photo","lat","elev","ID","false.spring","solr","windsp","aprecip","tmean","tmin","tmax","dewpt","gdd","chill","chill.day","frost","spp","tdiff"
"Aesculus","flava","flowers",2018,117,13.8520589420911,42.3023320588235,17.2058823529412,85751,0,132.106336805556,2.53333333333333,436.118,10.36,6.89,16.29,7.44,303.34,1036,0,48,2,9.4
"Aesculus","flava","flowers",2018,117,13.8520589420911,42.3026795945946,16.6891891891892,85755,0,132.106336805556,5.35208333333333,436.118,10.36,6.89,16.29,7.44,303.34,1036,0,48,2,9.4
"Aesculus","flava","flowers",2018,117,13.8520589420911,42.3025272650602,16.9156626506024,85756,0,132.106336805556,5.35208333333333,436.118,10.36,6.89,16.29,7.44,303.34,1036,0,48,2,9.4
"Aesculus","flava","flowers",2018,117,13.8520589420911,42.3013592608696,18.6521739130435,85757,0,132.106336805556,5.35208333333333,436.118,10.36,6.89,16.29,7.44,303.34,1036,0,48,2,9.4
"Aesculus","flava","flowers",2018,117,13.8520589420911,42.3026349555556,16.7555555555556,85758,0,132.106336805556,5.35208333333333,436.118,10.36,6.89,16.29,7.44,303.34,1036,0,48,2,9.4
"Aesculus","flava","Fruits",2016,156,14.9761111111111,42.3023320588235,17.2058823529412,85751,0,297.788194444444,2.70416666666667,362.712,20.95,15.32,27.14,16.69,993.57,784,0,51,2,11.82
"Aesculus","flava","Fruits",2016,156,14.9761111111111,42.3026795945946,16.6891891891892,85755,0,297.788194444444,2.70416666666667,362.712,20.95,15.32,27.14,16.69,993.57,784,0,51,2,11.82
"Aesculus","flava","Fruits",2016,156,14.9761111111111,42.3025272650602,16.9156626506024,85756,0,297.788194444444,2.70416666666667,362.712,20.95,15.32,27.14,16.69,993.57,784,0,51,2,11.82
"Aesculus","flava","Fruits",2016,156,14.9761111111111,42.3013592608696,18.6521739130435,85757,0,297.788194444444,2.70416666666667,362.712,20.95,15.32,27.14,16.69,993.57,784,0,51,2,11.82
"Aesculus","flava","Fruits",2016,156,14.9761111111111,42.3026349555556,16.7555555555556,85758,0,297.788194444444,2.70416666666667,362.712,20.95,15.32,27.14,16.69,993.57,784,0,51,2,11.82
"Aesculus","flava","Fruits",2017,162,-2.7775,42.3023320588235,17.2058823529412,85751,0,309.444444444444,4.375,502.666,25.88,17.56,32.92,17.24,1037.9,949,0,50,2,15.36
"Aesculus","flava","Fruits",2017,162,-2.7775,42.3026795945946,16.6891891891892,85755,0,309.444444444444,4.375,502.666,25.88,17.56,32.92,17.24,1037.9,949,0,50,2,15.36
"Aesculus","flava","Fruits",2017,162,-2.7775,42.3025272650602,16.9156626506024,85756,0,309.444444444444,4.375,502.666,25.88,17.56,32.92,17.24,1037.9,949,0,50,2,15.36
"Aesculus","flava","Fruits",2017,162,-2.7775,42.3013592608696,18.6521739130435,85757,0,309.444444444444,4.375,502.666,25.88,17.56,32.92,17.24,1037.9,949,0,50,2,15.36
"Aesculus","flava","Fruits",2017,162,-2.7775,42.3026349555556,16.7555555555556,85758,0,309.444444444444,4.375,502.666,25.88,17.56,32.92,17.24,1037.9,949,0,50,2,15.36
"Aesculus","flava","Increasing leaf size",2016,113,13.5361111111111,42.3023320588235,17.2058823529412,85751,0,259.28125,3.78229166666667,278.638,18.91,13.96,26.92,9.65,396.1,751,0,51,2,12.96
"Aesculus","flava","Increasing leaf size",2016,113,13.5361111111111,42.3026795945946,16.6891891891892,85755,0,259.28125,3.78229166666667,278.638,18.91,13.96,26.92,9.65,396.1,751,0,51,2,12.96
"Aesculus","flava","Increasing leaf size",2016,113,13.5361111111111,42.3025272650602,16.9156626506024,85756,0,259.28125,3.78229166666667,278.638,18.91,13.96,26.92,9.65,396.1,751,0,51,2,12.96
"Aesculus","flava","Increasing leaf size",2016,113,13.5361111111111,42.3026349555556,16.7555555555556,85758,0,259.28125,3.78229166666667,278.638,18.91,13.96,26.92,9.65,396.1,751,0,51,2,12.96
"Aesculus","flava","Increasing leaf size",2017,110,-2.7775,42.3023320588235,17.2058823529412,85751,0,219.993055555556,6.56770833333333,292.608,9.23,6.21,14.46,7.36,337.3,935,0,50,2,8.25
"Aesculus","flava","Increasing leaf size",2017,110,-2.7775,42.3026795945946,16.6891891891892,85755,0,219.993055555556,6.56770833333333,292.608,9.23,6.21,14.46,7.36,337.3,935,0,50,2,8.25
"Aesculus","flava","Increasing leaf size",2017,110,-2.7775,42.3025272650602,16.9156626506024,85756,0,219.993055555556,6.56770833333333,292.608,9.23,6.21,14.46,7.36,337.3,935,0,50,2,8.25
"Aesculus","flava","Increasing leaf size",2017,110,-2.7775,42.3013592608696,18.6521739130435,85757,0,219.993055555556,6.56770833333333,292.608,9.23,6.21,14.46,7.36,337.3,935,0,50,2,8.25
"Aesculus","flava","Increasing leaf size",2017,110,-2.7775,42.3026349555556,16.7555555555556,85758,0,219.993055555556,6.56770833333333,292.608,9.23,6.21,14.46,7.36,337.3,935,0,50,2,8.25
"Aesculus","flava","Increasing leaf size",2018,117,13.8520589420911,42.3023320588235,17.2058823529412,85751,0,164.182291666667,2.96875,436.118,10.36,6.89,16.29,7.44,303.34,1036,0,48,2,9.4
"Aesculus","flava","Increasing leaf size",2018,117,13.8520589420911,42.3026795945946,16.6891891891892,85755,0,164.182291666667,2.96875,436.118,10.36,6.89,16.29,7.44,303.34,1036,0,48,2,9.4
"Aesculus","flava","Increasing leaf size",2018,117,13.8520589420911,42.3025272650602,16.9156626506024,85756,0,164.182291666667,2.96875,436.118,10.36,6.89,16.29,7.44,303.34,1036,0,48,2,9.4
"Aesculus","flava","Increasing leaf size",2018,117,13.8520589420911,42.3013592608696,18.6521739130435,85757,0,164.182291666667,2.96875,436.118,10.36,6.89,16.29,7.44,303.34,1036,0,48,2,9.4
"Aesculus","flava","Increasing leaf size",2018,117,13.8520589420911,42.3026349555556,16.7555555555556,85758,0,164.182291666667,2.96875,436.118,10.36,6.89,16.29,7.44,303.34,1036,0,48,2,9.4
"Aesculus","flava","leaf drop",2016,282,11.1361111111111,42.3023320588235,17.2058823529412,85751,0,146.847355769231,2.42604166666667,514.35,15.36,7.47,21.34,13.56,3683.3,788,0,51,2,13.87
"Aesculus","flava","leaf drop",2016,282,11.1361111111111,42.3026795945946,16.6891891891892,85755,0,146.847355769231,2.42604166666667,514.35,15.36,7.47,21.34,13.56,3683.3,788,0,51,2,13.87
"Aesculus","flava","leaf drop",2017,256,-2.7775,42.3023320588235,17.2058823529412,85751,0,205.362847222222,1.61145833333333,621.538,20.92,12.51,29.39,14.06,3039.25,949,0,50,2,16.88
"Aesculus","flava","leaf drop",2017,256,-2.7775,42.3025272650602,16.9156626506024,85756,0,205.362847222222,1.61145833333333,621.538,20.92,12.51,29.39,14.06,3039.25,949,0,50,2,16.88
"Aesculus","flava","leaf drop",2017,256,-2.7775,42.3013592608696,18.6521739130435,85757,0,205.362847222222,1.61145833333333,621.538,20.92,12.51,29.39,14.06,3039.25,949,0,50,2,16.88
"Aesculus","flava","leaf drop",2017,256,-2.7775,42.3026349555556,16.7555555555556,85758,0,205.362847222222,2.39791666666667,621.538,20.92,12.51,29.39,14.06,3039.25,949,0,50,2,16.88
"Aesculus","flava","leafout",2015,165,15.0719444444444,42.3023320588235,17.2058823529412,85751,0,301.2578125,3.025,245.364,19.87,14.84,24.17,11.62,1015.83,633,0,76,2,9.33
"Aesculus","flava","leafout",2015,165,15.0719444444444,42.3026795945946,16.6891891891892,85755,0,301.2578125,3.025,245.364,19.87,14.84,24.17,11.62,1015.83,633,0,76,2,9.33
"Aesculus","flava","leafout",2015,165,15.0719444444444,42.3025272650602,16.9156626506024,85756,0,301.2578125,3.025,245.364,19.87,14.84,24.17,11.62,1015.83,633,0,76,2,9.33
"Aesculus","flava","leafout",2015,165,15.0719444444444,42.3013592608696,18.6521739130435,85757,0,301.2578125,6.79791666666667,245.364,19.87,14.84,24.17,11.62,1015.83,633,0,76,2,9.33
"Aesculus","flava","leafout",2015,165,15.0719444444444,42.3026349555556,16.7555555555556,85758,0,301.2578125,6.79791666666667,245.364,19.87,14.84,24.17,11.62,1015.83,633,0,76,2,9.33
"Aesculus","flava","leafout",2016,108,13.3438888888889,42.3023320588235,17.2058823529412,85751,0,239.309027777778,1.36145833333333,278.13,9.79,2.58,15.61,-1.12,342.14,745,7,51,2,13.03
"Aesculus","flava","leafout",2017,108,-2.7775,42.3023320588235,17.2058823529412,85751,0,237.489583333333,4.25520833333333,291.338,7.68,3.33,10.37,0.64,322.84,928,3,50,2,7.04
"Aesculus","flava","leafout",2017,108,-2.7775,42.3026795945946,16.6891891891892,85755,0,237.489583333333,4.25520833333333,291.338,7.68,3.33,10.37,0.64,322.84,928,3,50,2,7.04
"Aesculus","flava","leafout",2017,108,-2.7775,42.3025272650602,16.9156626506024,85756,0,237.489583333333,4.25520833333333,291.338,7.68,3.33,10.37,0.64,322.84,928,3,50,2,7.04
"Aesculus","flava","leafout",2017,108,-2.7775,42.3013592608696,18.6521739130435,85757,0,237.489583333333,4.25520833333333,291.338,7.68,3.33,10.37,0.64,322.84,928,3,50,2,7.04
"Aesculus","flava","leafout",2017,108,-2.7775,42.3026349555556,16.7555555555556,85758,0,237.489583333333,4.25520833333333,291.338,7.68,3.33,10.37,0.64,322.84,928,3,50,2,7.04
"Aesculus","flava","leafout",2018,117,13.8520589420911,42.3023320588235,17.2058823529412,85751,0,128.793154761905,2.53333333333333,436.118,10.36,6.89,16.29,7.44,303.34,1036,0,48,2,9.4
