Route,first,second,third,Total
Linden.North Woods,33,1160,4985,6178
Maple,0,789,4772,5561
Birch,0,6398,8011,14409
Oak,0,517,727,1244
Hickory,0,1342,3204,4546
Beech,0,565,3039,3604
Peters Hill,0,1763,8206,9969
